epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5233.3,0.42664,0.46692,1.07408,0.85799,0.60467,0.75515,0.6751,0.74927,1.13055,1.29626,0.0002179,0.0002179,0.0002179
81,5293.61,0.41613,0.44388,1.06145,0.86506,0.63346,0.77189,0.69319,0.73628,1.09688,1.27671,0.000208,0.000208,0.000208
82,5353.93,0.41629,0.44978,1.06262,0.85617,0.63444,0.76298,0.68054,0.74555,1.1217,1.29061,0.0001981,0.0001981,0.0001981
83,5414.2,0.42359,0.44992,1.06567,0.88505,0.65623,0.78993,0.72394,0.70572,1.03348,1.25704,0.0001882,0.0001882,0.0001882
84,5474.7,0.41713,0.44771,1.06154,0.86509,0.64785,0.78281,0.69835,0.73449,1.10587,1.27662,0.0001783,0.0001783,0.0001783
85,5535.02,0.41831,0.43954,1.06574,0.85913,0.64032,0.77575,0.69603,0.73511,1.09796,1.27148,0.0001684,0.0001684,0.0001684
86,5596.3,0.41582,0.44413,1.06155,0.87942,0.6413,0.78099,0.70772,0.72967,1.07936,1.26065,0.0001585,0.0001585,0.0001585
87,5657.96,0.41342,0.43428,1.05928,0.86805,0.65468,0.78551,0.71129,0.69902,1.04111,1.25379,0.0001486,0.0001486,0.0001486
88,5719.36,0.40955,0.42898,1.06361,0.86046,0.63691,0.76687,0.68267,0.75073,1.15427,1.29244,0.0001387,0.0001387,0.0001387
89,5780.55,0.39885,0.4186,1.04761,0.86314,0.63275,0.76826,0.69071,0.74139,1.15142,1.28218,0.0001288,0.0001288,0.0001288
90,5842.16,0.41074,0.42292,1.05341,0.89081,0.6436,0.78639,0.71432,0.72664,1.10654,1.26659,0.0001189,0.0001189,0.0001189
91,5919.75,0.38832,0.40612,1.05211,0.79476,0.65708,0.74668,0.65541,0.76209,1.11811,1.30755,0.000109,0.000109,0.000109
92,5981.45,0.36454,0.35755,1.03244,0.839,0.65393,0.76841,0.68355,0.75,1.06294,1.29086,9.91e-05,9.91e-05,9.91e-05
93,6042.63,0.35777,0.34654,1.02805,0.84853,0.6639,0.78299,0.70548,0.70669,1.00698,1.26058,8.92e-05,8.92e-05,8.92e-05
94,6103.34,0.35515,0.34192,1.03295,0.84904,0.6663,0.78038,0.69887,0.71364,1.01457,1.26146,7.93e-05,7.93e-05,7.93e-05
95,6164.5,0.35538,0.34143,1.03234,0.87021,0.64954,0.77999,0.71129,0.71004,1.01127,1.2519,6.94e-05,6.94e-05,6.94e-05
96,6225.68,0.35185,0.33272,1.0231,0.84617,0.65201,0.77244,0.69775,0.71762,1.02054,1.26129,5.95e-05,5.95e-05,5.95e-05
97,6286.72,0.35915,0.3316,1.03186,0.87167,0.64208,0.77584,0.71208,0.67934,0.99776,1.22708,4.96e-05,4.96e-05,4.96e-05
98,6347.84,0.35325,0.33008,1.02104,0.84005,0.63961,0.76426,0.68844,0.70266,1.06477,1.24862,3.97e-05,3.97e-05,3.97e-05
99,6409.05,0.35198,0.32873,1.02199,0.85928,0.65789,0.78244,0.71336,0.69031,1.0279,1.24282,2.98e-05,2.98e-05,2.98e-05
100,6470.24,0.34167,0.31819,1.02144,0.86047,0.64363,0.77657,0.71034,0.69534,1.04174,1.24848,1.99e-05,1.99e-05,1.99e-05
